S.No,States/UTs,YEAR,Changed Total Road Accident,Changed Total Accidents Per Lakh Population,Changed Total Killed in Road Accidents,Changed Total Persons Died in Road Accidents Per Lakh Population,Changed Total Injured in Road Accidents,Changed Total Injured in Road Accidents Per Lakh Population,Changed Severity of Road Accidents,Changed Fatal Road Accidents ,Changed Road Accidents on National Highways,Changed Killed in Road Accidents on National Highways,Changed Persons Injured in Road Accidents on National Highways,Changed Fatal Road Accidents on National Highways,Changed Road Accidents on State Highways,Changed Killed in Road Accidents on State Highways,Changed Injured in Road Accidents on State Highways,Changed Fatal Road Accidents on State Highways,Changed Total Other Road Accidents,Changed Killed on Other Road Accidents,Changed Fatal Accidents Other Road Accidents,Changed Injured on Other Road Accidents,Changed
27,Uttar Pradesh,2019,4,0,399,0,-732,0,0.9,367,-17,12,-12,83,-386,-363,-273,-359,407,750,643,-447,
28,West Bengal,2019,-2547,-2,-211,0,-2240,-3,9.1,-65,-534,-148,-489,-116,-65,-94,-147,-9,-1948,31,60,-1604,
29,A & N Islands,2019,-24,-5,1,0,-53,-10,1.2,2,-22,-1,-25,0,-33,-1,-42,-1,31,3,3,14,
30,Chandigarh,2019,-11,-1,6,0,-25,-2,3.1,3,-10,-3,-8,-4,0,0,0,0,-1,9,7,-17,
31,D & N Haveli,2019,-12,-3,-5,-1,39,7,4.6,-4,0,0,0,0,2,6,10,5,-14,-11,-9,29,
32,Daman & Diu,2019,-7,-3,-7,-2,-20,-6,-5.5,-11,0,0,0,0,1,4,5,1,-8,-11,-12,-25,
33,Delhi,2019,-905,-5,-227,-2,-934,-5,0.2,-224,74,15,38,10,0,0,0,0,-979,-242,-234,-972,
34,Jammu & Kashmir,2019,-182,-2,12,0,-313,-3,0.7,-47,-37,-16,-142,-29,-54,-19,-48,-9,-91,47,-9,-123,
35,Ladakh,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
36,Lakshadweep,2019,-2,-3,-1,-1,-2,-3,-33.3,-1,0,0,0,0,0,0,0,0,-2,-1,-1,-2,
37,Puducherry,2019,-205,-14,-79,-5,-108,-9,-3.6,-82,-118,-29,-154,-35,66,10,103,20,-153,-60,-67,-57,
1,Andhra Pradesh,2018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2,Arunachal Pradesh,2018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
3,Assam,2018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
4,Bihar,2018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
5,Chhattisgarh,2018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
6,Goa,2018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
7,Gujarat,2018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
8,Haryana,2018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
9,Himachal Pradesh,2018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
10,Jharkhand,2018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
11,Karnataka,2018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
12,Kerala,2018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
13,Madhya Pradesh,2018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
14,Maharashtra,2018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
15,Manipur,2018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
16,Meghalaya,2018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
17,Mizoram,2018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
18,Nagaland,2018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
19,Odisha,2018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
20,Punjab,2018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
21,Rajasthan,2018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
22,Sikkim,2018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
23,Tamil Nadu,2018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
24,Telangana,2018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
25,Tripura,2018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
26,Uttarakhand,2018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
27,Uttar Pradesh,2018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
28,West Bengal,2018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
29,A & N Islands,2018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
30,Chandigarh,2018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
31,D & N Haveli,2018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
32,Daman & Diu,2018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
33,Delhi,2018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
34,Jammu & Kashmir,2018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
35,Ladakh,2018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
36,Lakshadweep,2018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
37,Puducherry,2018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
