S. No.,States/UTs,Vehicle Type,Total Road Accidents,Killed,Greviously Injured,Minor Injured
34,Jammu & Kashmir,Trucks/Lorries,769,84,291,234
35,Ladakh,Trucks/Lorries,77,17,22,58
36,Lakshadweep,Trucks/Lorries,0,0,0,0
37,Puducherry,Trucks/Lorries,4,0,0,3
1,Andhra Pradesh,Buses,305,127,63,493
2,Arunachal Pradesh,Buses,18,7,15,17
3,Assam,Buses,314,134,387,40
4,Bihar,Buses,135,71,159,4
5,Chhattisgarh,Buses,68,29,5,140
6,Goa,Buses,47,1,1,5
7,Gujarat,Buses,248,79,175,269
8,Haryana,Buses,142,68,73,162
9,Himachal Pradesh,Buses,57,23,24,226
10,Jharkhand,Buses,113,90,89,18
11,Karnataka,Buses,686,177,406,1061
12,Kerala(*),Buses,1391,25,275,457
13,Madhya Pradesh,Buses,1450,293,197,1575
14,Maharashtra,Buses,348,92,318,383
15,Manipur,Buses,2,0,0,1
16,Meghalaya,Buses,4,9,22,29
17,Mizoram,Buses,0,0,0,0
18,Nagaland,Buses,12,2,2,15
19,Odisha,Buses,335,127,264,282
20,Punjab,Buses,23,21,19,0
21,Rajasthan,Buses,648,253,269,764
22,Sikkim,Buses,0,0,0,0
23,Tamil Nadu,Buses,767,163,254,983
24,Telangana,Buses,345,68,69,456
25,Tripura,Buses,5,1,8,0
26,Uttarakhand,Buses,5,0,7,0
27,Uttar Pradesh,Buses,1900,1077,953,603
28,West Bengal,Buses,328,119,478,219
29,A & N  Islands,Buses,3,1,0,1
30,Chandigarh,Buses,2,1,0,1
31,D & N Haveli,Buses,1,0,0,14
32,Daman & Diu,Buses,0,0,0,0
33,Delhi,Buses,3,0,0,4
34,Jammu & Kashmir,Buses,412,18,166,73
35,Ladakh,Buses,0,0,0,0
36,Lakshadweep,Buses,0,0,0,0
37,Puducherry,Buses,9,0,2,0
1,Andhra Pradesh,Non-motorized vehicle,43,10,9,48
2,Arunachal Pradesh,Non-motorized vehicle,0,0,0,0
3,Assam,Non-motorized vehicle,234,101,145,10
4,Bihar,Non-motorized vehicle,145,97,135,13
5,Chhattisgarh,Non-motorized vehicle,21,2,0,18
6,Goa,Non-motorized vehicle,0,0,0,0
7,Gujarat,Non-motorized vehicle,72,42,54,44
8,Haryana,Non-motorized vehicle,88,31,35,75
9,Himachal Pradesh,Non-motorized vehicle,0,0,0,0
10,Jharkhand,Non-motorized vehicle,179,143,159,26
11,Karnataka,Non-motorized vehicle,32,18,19,7
12,Kerala(*),Non-motorized vehicle,2,0,7,1
13,Madhya Pradesh,Non-motorized vehicle,1270,258,147,1533
14,Maharashtra,Non-motorized vehicle,143,43,47,19
15,Manipur,Non-motorized vehicle,2,0,4,0
16,Meghalaya,Non-motorized vehicle,0,0,0,0
17,Mizoram,Non-motorized vehicle,0,0,0,0
18,Nagaland,Non-motorized vehicle,0,0,0,0
19,Odisha,Non-motorized vehicle,93,40,54,13
20,Punjab,Non-motorized vehicle,88,70,10,13
21,Rajasthan,Non-motorized vehicle,496,160,63,226
22,Sikkim,Non-motorized vehicle,0,0,0,0
23,Tamil Nadu,Non-motorized vehicle,74,27,27,37
24,Telangana,Non-motorized vehicle,148,39,12,138
25,Tripura,Non-motorized vehicle,5,0,11,0
26,Uttarakhand,Non-motorized vehicle,11,9,6,3
27,Uttar Pradesh,Non-motorized vehicle,1969,1221,661,485
28,West Bengal,Non-motorized vehicle,40,12,41,6
29,A & N  Islands,Non-motorized vehicle,0,0,0,0
30,Chandigarh,Non-motorized vehicle,4,1,0,4
31,D & N Haveli,Non-motorized vehicle,0,0,0,0
32,Daman & Diu,Non-motorized vehicle,0,0,0,0
33,Delhi,Non-motorized vehicle,107,13,5,128
34,Jammu & Kashmir,Non-motorized vehicle,5,1,1,2
35,Ladakh,Non-motorized vehicle,0,0,0,0
