S.No,States/UTs,TIN,State Code,Age of impacting Vehicle,Total Accidents,Persons Killed,Greviously Injured,Minor Injury
7,Gujarat,24,GJ,Age not known,1637,1128,501,319
8,Haryana,6,HR,Age not known,5841,2708,1022,3225
9,Himachal Pradesh,2,HP,Age not known,188,42,58,41
10,Jharkhand,20,JH,Age not known,1399,1050,689,88
11,Karnataka,29,KA,Age not known,1910,816,880,761
12,Kerala,32,KL,Age not known,9551,1013,7628,2617
13,Madhya Pradesh,23,MP,Age not known,10582,2430,1334,9347
14,Maharashtra,27,MH,Age not known,1764,877,887,289
15,Manipur,14,MN,Age not known,33,13,8,44
16,Meghalaya,17,ML,Age not known,70,59,28,10
17,Mizoram,15,MZ,Age not known,1,1,0,0
18,Nagaland,13,NL,Age not known,168,21,54,83
19,Orissa,21,OD,Age not known,1435,825,648,476
20,Punjab,3,PB,Age not known,506,447,217,44
21,Rajasthan,8,RJ,Age not known,3277,1627,1087,1757
22,Sikkim,11,SK,Age not known,0,0,0,0
23,Tamil Nadu,33,TN,Age not known,6568,2130,1956,3474
24,Telangana,36,TS,Age not known,2717,945,328,1951
25,Tripura,16,TR,Age not known,3,2,1,0
26,Uttarakhand,9,UP,Age not known,236,142,101,43
27,Uttar Pradesh,5,UK,Age not known,7522,4368,3065,1932
28,West Bengal,19,WB,Age not known,3240,1233,1757,634
29,A & N Islands,35,AN,Age not known,3,1,1,1
30,Chandigarh,4,CH,Age not known,0,0,0,0
31,D & N Haveli,26,DNHDD,Age not known,10,7,5,2
33,Delhi*,7,DL,Age not known,1358,381,54,993
34,Jammu & Kashmir,1,JK,Age not known,2441,345,2269,795
35,Ladakh,38,LA,Age not known,15,7,5,7
36,Lakshadweep,31,LD,Age not known,0,0,0,0
37,Puducherry,34,PY,Age not known,196,43,53,109
